,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,in progress,240.0,UNIFORM TITLE (NR),Uniform title printed or displayed,*,,Nonfiling characters,*,,,," a, d, f, g, k, m, n, o, p, r, s, 2","Uniform title 
Date of treaty signing
Date of a work
Miscellaneous information
Form subheading
Medium of performance for music
Number of part/section of a work
Arranged statement for music
Name of part/section of a work
Key for music
Version 
",,,$2 or $0 or $1 with URI,,,,"http://rdaregistry.info/Elements/w/P10331
http://rdaregistry.info/Elements/n/P80068

http://rdaregistry.info/Elements/n/P80069","has authorized access point for work
has nomen string
has scheme of normen","IRI, structured, IRI or code","mint nomen, concatenate into nomen string all subfields omitting h (Medium, obsolete for RDA) and l (Language, which should be an expression property).  Category of nomen added from tag label since we can't identify scheme of nomen","[this work URI] -->rdawoP10331-->[minted nomen]-->rdanP80068 "" (a+d+f+g+k+m+n+o+p+r+s+ as they occur in order in MARC,separate by 1 space)""

[nomen]-->rdanP80069-->(derive from source code in $2 or domain of IRI in $0 or $1 if domain is an approved one.  If it isn't use ""has access point for work"" mapping)",,
5,in progress,240.0,UNIFORM TITLE (NR),Uniform title printed or displayed,*,,Nonfiling characters,*,,,,"a, d, f, g, k, m, n, o, p, r, s","Uniform title 
Date of treaty signing
Date of a work
Miscellaneous information
Form subheading
Medium of performance for music
Number of part/section of a work
Arranged statement for music
Name of part/section of a work
Key for music
Version 
",,,NOT($2 or $0 or $1 with URI),,,,"http://rdaregistry.info/Elements/w/P10328
http://rdaregistry.info/Elements/n/P80068 
http://rdaregistry.info/Elements/n/P80078 ","has access point for work
has nomen string
has category of nomen ""uniform title""","IRI, structured, unstructured","mint nomen, concatenate into nomen string all subfields omitting h (Medium, obsolete for RDA) and l (Language, which should be an expression property).  Category of nomen added from tag label since we can't identify scheme of nomen","[this work URI] -->rdawoP10331-->[minted nomen]-->rdanP80068 "" (a+d+f+g+k+m+n+o+p+r+s+ separate by 1 space)""

[nomen]-->rdanP80078-->""Uniform title""",,
6,delete ,240.0,UNIFORM TITLE (NR),Uniform title printed or displayed,*,,Nonfiling characters,*,,,,a,Uniform title (NR),,,,,,,http://rdaregistry.info/Elements/w/P10088,has title of work,unstructured,,"combine with $g,$k",,
7,delete,240.0,UNIFORM TITLE (NR),Uniform title printed or displayed,*,,Nonfiling characters,*,,,,a,Uniform title (NR),,,,,,,http://rdaregistry.info/Elements/w/P10223,has preferred title of work,unstructured,,"combine with $g,$k",,
8,in progress,240.0,UNIFORM TITLE (NR),Uniform title printed or displayed,*,,Nonfiling characters,*,,,,"a, d, f, g, k, l, m, n, o, p, r, s",Uniform title (NR),,,$2 or $0 with IRI,,$l,,"http://rdaregistry.info/Elements/e/P20313
http://rdaregistry.info/Elements/n/P80068 

http://rdaregistry.info/Elements/n/P80069 ","has authorized access point for expression
has nomen string
has scheme of normen","IRI, structured, IRI or code","Include $l language in an expression access point.  mint nomen, concatenate into nomen string all subfields omitting h (Medium, obsolete for RDA), include scheme if source data or approved IRI is there. ","[this work URI] -->rdawoP10331-->[minted nomen]-->rdanP80068 "" (a+d+f+g+k+l+m+n+o+p+r+s+ as they occur in order in MARC, separate by 1 space)""

[nomen]-->rdanP80069-->(derive from source code in $2 or domain of IRI in $0 or $1 if domain is an approved one.  If it isn't use ""has access point for work"" mapping)",,
9,in progress,240.0,UNIFORM TITLE (NR),Uniform title printed or displayed,*,,Nonfiling characters,*,,,,"a, d, f, g, k, m, n, o, p, r, s",Uniform title (NR),,,NOT($2 or $0 with IRI),,$l,,"http://rdaregistry.info/Elements/e/P20310
http://rdaregistry.info/Elements/n/P80068 
http://rdaregistry.info/Elements/n/P80078 ","has access point for expression
has nomen string
has category of nomen ""uniform title""","IRI, structured, unstructured
","Include $l language in an expression access point.  Mint nomen, concatenate into nomen string all subfields omitting h (Medium, obsolete for RDA). Category of nomen added from tag label since we can't identify scheme of nomen","[this work URI] -->rdawoP10331-->[minted nomen]-->rdanP80068 "" (a+d+f+g+k+m+n+o+p+r+s+ separate by 1 space)""

[nomen]-->rdanP80078-->""Uniform title""",,with $o also
