,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,Unnamed: 23,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,approved $1,$2,,,,RDA URI in table,RDA element in table,IRI,,"<entity> RDA property <$1> 
<$1> rdaad:P50237 ""meeting"" .// category of corporate body
<$1> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u)” . // has authorized access point for corporate body .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iic1-0s-and-1s-for-rda-entities
1,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,approved $1,no $2,,,,RDA URI in table,RDA element in table,IRI,,"<entity> RDA property <$1> . // has subject corporate body
<$1> rdaad:P50237 ""meeting"" .// category of corporate body
<$1> rdaao:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
2,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,$2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,,,"<manifestation> rdamo:P30270 <$1> .// related corporate body of manifestation
<$1> rdaad:P50237 ""meeting"" .// category of corporate body
<$1> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
3,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,no $2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,,,"<manifestation> rdawo:P10314 <$1> . // related corporate body of manifestation
<$1> rdaad:P50237 ""meeting"" .// category of corporate body
<$1> rdaao:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
4,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2,$1|$0 from id.loc.gov,,RDA URI in table,RDA element in table,IRI,,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50407 ""value of a, c, d, e, g, n, q, u"". // has authorized access point for corporate body",,
5,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2,$1|$0 not from id.loc.gov,,RDA URI in table,RDA element in table,IRI,,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50375 ""value of a, c, d, e, g, n, q, u"". // has access point for corporate body",,
6,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,$2,5,,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<itemIRI> related corporate body of item <$1> 
<$1> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has authorized access point for corporate body
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
7,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,no $2,5,,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<itemIRI> related corporate body of item <$1>
<$1> rdaad:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
8,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,$0 type is right and no $1,$2,,,,RDA URI in table,RDA element in table,IRI,,"<entity> RDA property <$0> 
<$0> rdaad:P50237 ""meeting"" .// category of corporate body
<$0> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u)” . // has authorized access point for corporate body .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
9,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,$0 type is right and no $1,no $2,,,,RDA URI in table,RDA element in table,IRI,,"<entity> RDA property <$0> . // has subject corporate body
<$0> rdaad:P50237 ""meeting"" .// category of corporate body
<$0> rdaao:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
10,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,$1|$0 from id.loc.gov,5,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<ItemIRI> has related corporate body of item <$1|$0>
<$1|$0> rdaad:P50407 ""value of a, c, d, e, g, n, q, u"". // has authorized access point for corporate body",,
11,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,$1|$0 not from id.loc.gov,5,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<ItemIRI> has related corporate body of item <$1|$0>
<$1|$0> rdaad:P50375 ""value of a, c, d, e, g, n, q, u"". // has  access point for corporate body",,
12,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,$2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,,,"<manifestation> rdamo:P30270 <$0> .// related corporate body of manifestation
<$0> rdaad:P50237 ""meeting"" .// category of corporate body
<$0> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
13,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,no $2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,,,"<manifestation> rdawo:P10314 <$0> . // related corporate body of manifestation
<$0> rdaad:P50237 ""meeting"" .// category of corporate body
<$0> rdaao:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
14,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,$2,5,,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<itemIRI> related corporate body of item <$0> 
<$0> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has authorized access point for corporate body
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
15,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,no $2,5,,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<itemIRI> related corporate body of item <$0>
<$0> rdaad:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
16,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0|$1,,,,no $t,only name portion,unapproved $0 or $1,,,,,,,http://rdaregistry.info/Elements/a/P50006,has identifier for corporate body,structured description,,"<meetingIRI> rdawd:P50006 ""$0 or $1 value"". // has identifier for corporate body",,
17,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,$1|$0 from id.loc.gov,no $5,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,IRI, ,"<ManifestationIRI> has related corporate body of manifestation <$1|$0>
<$1|$0> rdaad:P50407 ""value of a, c, d, e, g, n, q, u"" . // has authorized access point for corporate body",,
18,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,$1|$0 not from id.loc.gov,no $5,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,IRI, ,"<ManifestationIRI> has related corporate body of manifestation <$1|$0>
<$1|$0> rdaad:P50375 ""value of a, c, d, e, g, n, q, u"". // has access point for corporate body",,
19,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,$2,,,,RDA URI in table,RDA element in table,structured ,,"<entity> RDA property <corpBodyIRI> 
<corpBodyIRI> rdaad:P50237 ""meeting"" .// category of corporate body
<corpBodyIRI> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has authorized access point for corporate body
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
20,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,no $2,,,,RDA URI in table,RDA element in table,structured ,,"<entity> RDA property <corpBodyIRI>
<corpBodyIRI> rdaad:P50237 ""meeting"" .// category of corporate body
<corpBodyIRI> rdaad:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
21,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,,RDA URI in table,RDA element in table,structured ,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for corporate body
<nomenIRI> rdand:P80068 ""value of a, c, d, e, g, n, q, u"" . // has nomen string
<nomenIRI> rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen",,
22,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,$2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,structured ,,"<manIRI> related corporate body of manifestation <corpBodyIRI> 
<corpBodyIRI> rdaad:P50237 ""meeting"" .// category of corporate body
<corpBodyIRI> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has authorized access point for corporate body
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
23,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,no $2,no $5,,,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,structured ,,"<manIRI> related corporate body of manifestation <corpBodyIRI>
<corpBodyIRI> rdaad:P50237 ""meeting"" .// category of corporate body
<corpBodyIRI> rdaad:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
24,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,$2,5,,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,structured ,,"<itemIRI> related corporate body of item <corpBodyIRI> 
<corpBodyIRI> rdaad:P50237 ""meeting"" .// category of corporate body
<corpBodyIRI> nomen property <nomenIRI>
<nomenIRI> rdand:P80068 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has authorized access point for corporate body
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen


If $2 is approved source, use rdaao:P50407 .// has authorized access point for corporate body. If unapproved use rdaao:P50375 .// has access point for corporate body
- CP 2025-01-06",,
25,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,5,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,structured ,,"<ItemIRI> has related corporate body of item <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for corporate body
<nomenIRI> rdand:P80068 ""value of a, c, d, e, g, n, q, u"" . // has nomen string
<nomenIRI> rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen",,
26,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,no $2,5,,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,structured ,,"<itemIRI> related corporate body of item <corpBodyIRI>
<corpBodyIRI> rdaad:P50237 ""meeting"" .// category of corporate body
<corpBodyIRI> rdaad:P50375 “stripEndStop(concatenateOA($a, $c, $d, $e, $g, $n, $q, $u))” . // has access point for corporate body",,
27,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,no $5,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,structured , ,"<ManifestationIRI> has related corporate body of manifestation <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for corporate body
<nomenIRI> rdand:P80068 ""value of a, c, d, e, g, n, q, u"" . // has nomen string
<nomenIRI> rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen",,
28,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,$t,name and title portions,approved $1,,$2,,, ,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI.","<manIRI> has related work of manifestation <$1>
<$1> nomen property <nomenW> 
<nomenW> rdand:P80068 """"""""stripEndStop(concatenateOA(value of a, c, d, e, f, g, k, l, n, p, q, s, t, u)"""""""" . // has nomen string; OA = in order of appearance
<nomenW> rdano:P80069 <tScheme(2nd indicator or $2)> . // has scheme of nomen
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdawo:P10331 .// has authorized access point for work. If unapproved use rdawo:P10328 .// has access point for work
- CP 2025-01-06",,
29,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$1,,,,$t,name and title portions,approved $1,,no $2,,, ,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI.","<manIRI> has related work of manifestation <$1>
<$1> rdawd:P10328  """"stripEndStop(concatenateOA(value of a, c, d, e, f, g, k, l, n, p, q, s, t, u) . // has access point for work
- CP 2025-01-06",,
30,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,$t,name and title portions,$0 type is right and no $1,,$2,,, ,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI.","<manIRI> has related work of manifestation <$0>
<$0> nomen property <nomenW> 
<nomenW> rdand:P80068 """"""""stripEndStop(concatenateOA(value of a, c, d, e, f, g, k, l, n, p, q, s, t, u)"""""""" . // has nomen string; OA = in order of appearance
<nomenW> rdano:P80069 <tScheme(2nd indicator or $2)> . // has scheme of nomen
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdawo:P10331 .// has authorized access point for work. If unapproved use rdawo:P10328 .// has access point for work
- CP 2025-01-06", ,
31,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0,,,,$t,name and title portions,$0 type is right and no $1,,no $2,,, ,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI.","<manIRI> has related work of manifestation <$0>
<$0> rdawd:P10328  """"stripEndStop(concatenateOA(value of a, c, d, e, f, g, k, l, n, p, q, s, t, u) . // has access point for work
- CP 2025-01-06",,
32,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,$0|$1,,,,$t,name and title portions,$0 or $1 is unapproved,,,,,,,http://rdaregistry.info/Elements/w/P10002,has identifier for work,structured description,,"<relWorkIRI> rdawd:P10002 ""$0 or $1 value"". // has identifier for work",,
33,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,no $2,$1|$0 from id.loc.gov,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI, ," <ManifestationIRI> has related work of manifestation <$1|$0>
<$1|$0> has AAP for Associated Work ""value of a, c, d, e, f, g, k, l, n, p, q, s, t, u""",,
34,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,no $2,$1|$0 not from id.loc.gov,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI."," <ManifestationIRI> has related work of manifestation <$1|$0>
<$1|$0> has AP for Associated Work ""value of a, c, d, e, f, g, h, k, l, n, p, q, s, t, u""",,
35,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, f, g, h, k, l, n, p, q, s, t, u",,,,$t,name and title portions,no $1 or $0 that can be converted into a rwo uri,,$2,,,,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,structured , ,"<manIRI> has related work of manifestation <relWorIRI>
<relWorIRI> nomen property <nomenW> 
<nomenW> rdand:P80068 """"""""stripEndStop(concatenateOA(value of a, c, d, e, f, g, k, l, n, p, q, s, t, u)"""""""" . // has nomen string; OA = in order of appearance
<nomenW> rdano:P80069 <tScheme(2nd indicator or $2)> . // has scheme of nomen
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdawo:P10331 .// has authorized access point for work. If unapproved use rdawo:P10328 .// has access point for work
- CP 2025-01-06",,
36,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, f, g, h, k, l, n, p, q, s, t, u",,,,$t,name and title portions,no $1 or $0 that can be converted into a rwo uri,,no $2,,,,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,structured , ,"<manIRI> has related work of manifestation <relWorIRI>
<relWorIRI> rdawd:P10328  """"stripEndStop(concatenateOA(value of a, c, d, e, f, g, k, l, n, p, q, s, t, u) . // has access point for work
- CP 2025-01-06",,
37,first pass,710.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, f, g, h, k, l, n, p, q, s, t, u",,,,$t,name and title portions,,,,,,,,https://www.rdaregistry.info/Elements/w/object/#P10314,has related corporate body of work,structured , ,<Associated Work IRI> has related corporate body of work <CorporateBodyIRI>,,
38,first pass,710.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,not(2),,,,"a, c, d, e, f, g, h, k, l, n, p, q, s, t, u",,,,$t,name and title portions,,,,,,,,,,,,follow Headings Fields Attribute Mapping table for relationships to corporate body and subject work - CP 2025-01-06,,
39,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, f, g, h, k, l, n, p, q, s, t, u",,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,structured , ," <ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> has AAP for Associated Work <NomenIRI>
<NomenIRI> has nomen string ""value of a, c, d, e, f, g, k, l, n, p, q, s, t, u"" in order of appearance
<NomenIRI> has scheme of nomen <http://id.loc.gov/authorities/names >",,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,dramatized as work|is dramatized as work,,,,,,,,http://rdaregistry.info/Elements/w/P10016,is dramatized as work,,,,,
42,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,part of work|is part of work,,,,,,,,http://rdaregistry.info/Elements/w/P10019,is part of work,,,,,
