,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,MARCTagCondition4,RDA Registry URI,RDA Registry Label, ,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
10,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,approved $1,,$2, ,,RDA URI in table,RDA element in table,IRI, ,"<work> property from table <$1> . // has subject family
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",, 
11,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,approved $1,,no $2, ,,RDA URI in table,RDA element in table,IRI, ,"<work> property from table <$1> . // has subject family
<$1> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",, 
12,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,,$2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<work> rdawo:P10313 <$1> . // has subject family
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",,
13,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,,no $2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<work> rdawo:P10313 <$1> . // has subject family
<$1> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",,
14,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,$0 type is right and no $1,,$2, ,,RDA URI in table,RDA element in table,IRI, ,"<work> property from table <converted $0> . // has subject family
<converted $0> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",, 
15,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,$0 type is right and no $1,,no $2, ,,RDA URI in table,RDA element in table,IRI, ,"<work> property from table <converted $0> . // has subject family
<converted $0> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",, 
16,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1|$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,,,no $2,$1|$0 from id.loc.gov,,RDA URI in table,RDA element in table,IRI, ,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50409 ""value of a, b, c, d, g, j, q, u"". // has authorized access point for family",, 
17,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1|$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,,,no $2,$1|$0 not from id.loc.gov,,RDA URI in table,RDA element in table,IRI, ,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50376  ""value of a, b, c, d, g, j, q, u"" . // has access point for family
",, 
18,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$1|$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,,,no $2,$1|$0 from id.loc.gov,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,IRI,,"<WorkIRI> has related person of work <$1|$0>
<$1|$0> rdaad:P50411 ""value of a, b, c, d, g, j, q, u"". // has authorized access point for person",,
19,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$1|$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,,,no $2,$1|$0 not from id.loc.gov,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,IRI,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<WorkIRI> has related person of work <$1|$0>
<$1|$0> rdaad:P50377  ""value of a, b, c, d, g, j, q, u"". // has access point for person
",,
20,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1|$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,,,Identified and approved source in $2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<WorkIRI> has related family of work <$1>
<$1> rdaad:P50052 ""stringified $0"" .// has identifier for family
<$1> rdaad:P50409 ""value of a, b, c, d, g, j, q, u"". // has authorized access point for family
",,
21,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,,$2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<work> rdawo:P10313 <converted $0> . // has subject family
<converted $0> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",,
22,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$0 type is right and no $1,,no $2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<work> rdawo:P10313 <converted $0> . // has subject family
<converted $0> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",,
23,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1|$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,,,No source in $2 with unapproved $1,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<WorkIRI> has related family of work <familyIRI>
<familyIRI> rdaad:P50052 ""stringified $0"" .// has identifier for family
<familyIRI> rdaad:P50052 ""stringified $1"" .// has identifier for family
<familyIRI> rdaad:P50376 ""value of a, b, c, d, g, j, q, u"". // has access point for family
",,
24,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1|$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,,,no $2,$1|$0 from id.loc.gov,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<WorkIRI> has related family of work <$1|$0>
<$1|$0> rdaad:P50409  ""value of a, b, c, d, g, j, q, u"". // has authorized access point for family
",,
25,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,$1|$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,,,no $2,$1|$0 not from id.loc.gov,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,IRI, ,"<WorkIRI> has related family of work <$1|$0>
<$1|$0> rdaad:P50376 ""value of a, b, c, d, g, j, q, u"". // has access point for family
",,
26,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,,$2,,,RDA URI in table,RDA element in table,structured , ,"<work> property from table <personS> . // has subject person
<personS> nomen property <nomenP> . // has authorized access point for person;
<nomenP> rdand:P80068 “stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string; OA = in order of appearance
<nomenP> rdano:P80069 <tScheme(2nd indicator or $2)> . // has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-12", , 
27,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,,no $2,,,RDA URI in table,RDA element in table,structured , ,"<work> property from table <personS> . // has subject person
<personS> rdaad:P50377 ""stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))"" . // has access point for person",, 
28,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,,,no $2 and  040 $b = eng,,no $1 or $0 that can be converted into a rwo uri,RDA URI in table,RDA element in table,structured , ,"<WorkIRI> RDA URI <personIRI> (minted)
<personIRI> rdaao:P50411 <nomenIRI>. // has authorized access point for person
<nomenIRI> rdand:P80068 ""value of a, b, c, d, g, j, q, u"" . // has nomen string
<nomenIRI> rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen","Use AAP if source and heading are LC

Use AAP for the fields that @AdamSchiff identified as requiring an LC heading (LCNAF/LCSH) and the source is an LC source; otherwise use AP.

Adam: There won’t be a $2 in access point and subject fields for agents constructed according to RDA (or AACR2 or AACR). The assumption in 1XX, 7XX, and 600-611 with second indicator 0 is that the agents are either in the LC/NACO authority file in the same form or that they are constructed in accordance with RDA/AACR2/AACR. This isn’t always true, but that’s the basic assumption.--Adam", 
29,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,,$2,,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,structured ,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<work> rdawo:P10312 <personS> . // has subject person
<personS> nomen property <nomenP> . // has authorized access point for person;
<nomenP> rdand:P80068 “stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string; OA = in order of appearance
<nomenP> rdano:P80069 <tScheme(2nd indicator or $2)> . // has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-12",,
30,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,,no $2,,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,structured ,,"<work> rdawo:P10312 <personS> . // has subject person
<personS> rdaad:P50377 ""stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))"" . // has access point for person",,
31,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,,$2,,,RDA URI in table,RDA element in table,structured , ,"<work> property from table <familyIRI> . // has subject family
<familyIRI> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",, 
32,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $1 or $0 that can be converted into a rwo uri,,no $2,,,RDA URI in table,RDA element in table,structured , ,"<work> property from table <familyIRI> . // has subject family
<familyIRI> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",, 
33,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,"a, b, c, d, g, q, u", ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,,,no $2 and  040 $b = eng,,no $1 or $0 that can be converted into a rwo uri,RDA URI in table,RDA element in table,structured , ,"<WorkIRI> RDA URI <familyIRI> (minted)
<familyIRI> rdaad:P50409 <nomenIRI>. // has authorized access point for family
<nomenIRI> rdand:P80068 ""value of a, b, c, d, g, j, q, u"" . // has nomen string
<nomenIRI> rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen
",, 
34,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,check aggregate markers ,,,no $2 and  040 $b = eng,,no $1 or $0 that can be converted into a rwo uri,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,structured ,,"<WorkIRI> has related person of work <personIRI> (minted)
<personIRI> rdaao:P5041 <nomenIRI>. // has authorized access point for person
<NomenIRI>  rdand:P80068 ""value of a, b, c, d, g, j, q, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen
",,
35,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,,,no $2,,no $1 or $0 that can be converted into a rwo uri,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,structured ,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<WorkIRI> has related person of work <personIRI> (minted)
<personIRI> rdaad:P50377  ""value of a, b, c, d, g, j, q, u"". // has access point for person",,
36,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,,$2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,structured , ,"<work> rdawo:P10313 <familyIRI> . // has subject family
<familyIRI> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-12",,
37,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $1 or $0 that can be converted into a rwo uri,,no $2,,,https://www.rdaregistry.info/Elements/w/object/#P10313,has related family of work ,structured , ,"<work> rdawo:P10313 <familyIRI> . // has subject family
<familyIRI> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-12",,
38,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,"a, b, c, d, g, q, u",,,,, ,,,,,,,,,,"follow Headings Fields Attribute Mapping table for relationships to person or family, and/or work - CP 2024-12-12",,
