Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,#,Abbreviated key title,,,2,Source (R),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,#,Abbreviated key title,,,6,Linkage (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,#,Abbreviated key title,,,8,Field link and sequence number (R),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,#,Abbreviated key title,,,a,Abbreviated title (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,#,Abbreviated key title,,,b,Qualifying information (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,0,Other abbreviated title,,,2,Source (R),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,0,Other abbreviated title,,,6,Linkage (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,0,Other abbreviated title,,,8,Field link and sequence number (R),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,0,Other abbreviated title,,,a,Abbreviated title (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,0,No added entry,Type,0,Other abbreviated title,,,b,Qualifying information (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,#,Abbreviated key title,,,2,Source (R),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,#,Abbreviated key title,,,6,Linkage (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,#,Abbreviated key title,,,8,Field link and sequence number (R),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,#,Abbreviated key title,,,a,Abbreviated title (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,#,Abbreviated key title,,,b,Qualifying information (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,0,Other abbreviated title,,,2,Source (R),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,0,Other abbreviated title,,,6,Linkage (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,0,Other abbreviated title,,,8,Field link and sequence number (R),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,0,Other abbreviated title,,,a,Abbreviated title (NR),,,,,,,,,,,,,
,210,ABBREVIATED TITLE (R),Title added entry,1,Added entry,Type,0,Other abbreviated title,,,b,Qualifying information (NR),,,,,,,,,,,,,
,211,ACRONYM OR SHORTENED TITLE (R) [OBSOLETE],Title added entry,0,No title added entry,Nonfiling characters,0-9,Number of nonfiling characters present,,,6,Linkage (NR),,,,,,,,,,,,,
,211,ACRONYM OR SHORTENED TITLE (R) [OBSOLETE],Title added entry,0,No title added entry,Nonfiling characters,0-9,Number of nonfiling characters present,,,a,Acronym or shortened title (NR),,,,,,,,,,,,,
,211,ACRONYM OR SHORTENED TITLE (R) [OBSOLETE],Title added entry,1,Title added entry,Nonfiling characters,0-9,Number of nonfiling characters present,,,6,Linkage (NR),,,,,,,,,,,,,
,211,ACRONYM OR SHORTENED TITLE (R) [OBSOLETE],Title added entry,1,Title added entry,Nonfiling characters,0-9,Number of nonfiling characters present,,,a,Acronym or shortened title (NR),,,,,,,,,,,,,
,212,VARIANT ACCESS TITLE (R) [OBSOLETE],Title added entry,0,No title added entry,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
,212,VARIANT ACCESS TITLE (R) [OBSOLETE],Title added entry,0,No title added entry,Undefined,#,Undefined,,,a,Variant access title (NR),,,,,,,,,,,,,
,212,VARIANT ACCESS TITLE (R) [OBSOLETE],Title added entry,1,Title added entry,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
,212,VARIANT ACCESS TITLE (R) [OBSOLETE],Title added entry,1,Title added entry,Undefined,#,Undefined,,,a,Variant access title (NR),,,,,,,,,,,,,
,214,AUGMENTED TITLE (R) [OBSOLETE],Title added entry,0,No title added entry,Nonfiling characters,0-9,Number of nonfiling characters present,,,6,Linkage (NR),,,,,,,,,,,,,
,214,AUGMENTED TITLE (R) [OBSOLETE],Title added entry,0,No title added entry,Nonfiling characters,0-9,Number of nonfiling characters present,,,a,Augmented title (NR),,,,,,,,,,,,,
,214,AUGMENTED TITLE (R) [OBSOLETE],Title added entry,1,Title added entry,Nonfiling characters,0-9,Number of nonfiling characters present,,,6,Linkage (NR),,,,,,,,,,,,,
,214,AUGMENTED TITLE (R) [OBSOLETE],Title added entry,1,Title added entry,Nonfiling characters,0-9,Number of nonfiling characters present,,,a,Augmented title (NR),,,,,,,,,,,,,
,222,KEY TITLE (R),Undefined,*,,Nonfiling characters,*,,,,a,Key title (NR),,,,,,,http://rdaregistry.info/Elements/w/P10367,has key title,,,,,
,222,KEY TITLE (R),Undefined,*,,Nonfiling characters,*,,,,b,Qualifying information (NR),,,,,,,http://rdaregistry.info/Elements/w/P10367,has key title,,,,,
