Status	MARCField	MARCFieldLabel	MARCInd1Label	MARCInd1Value	MARCInd1ValueLabel	MARCInd2Label	MARCInd2Value	MARCInd2ValueLabel	CharacterPosition	CharacterPositionLabel	MARCSubfield	MARCSubfieldLabel	CodeValue	CodeValueLabel	MARCTagCondition1	Condition1Values	MARCTagCondition2	Condition2Values	RDA Registry URI	RDA Registry Label	Recording Method	Justification for Mapping	Transformation Notes	Problems with Mapping	Notes (Uncategorized)
	10	LIBRARY OF CONGRESS CONTROL NUMBER (NR)	Undefined	#	Undefined	Undefined	#	Undefined			8	Field link and sequence number (R)													
	10	LIBRARY OF CONGRESS CONTROL NUMBER (NR)	Undefined	#	Undefined	Undefined	#	Undefined			a	LC control number (NR)													
	10	LIBRARY OF CONGRESS CONTROL NUMBER (NR)	Undefined	#	Undefined	Undefined	#	Undefined			b	NUCMC control number (R)													
	10	LIBRARY OF CONGRESS CONTROL NUMBER (NR)	Undefined	#	Undefined	Undefined	#	Undefined			z	Canceled/invalid LC control number (R)													
	11	LINKING LIBRARY OF CONGRESS CONTROL NUMBER (NR) [OBSOLETE]	Undefined	#	Undefined	Undefined	#	Undefined			a	LINKING LC control number (R)													
	13	PATENT CONTROL INFORMATION (R)	Undefined	#	Undefined	Undefined	#	Undefined			6	Linkage (NR)													
	13	PATENT CONTROL INFORMATION (R)	Undefined	#	Undefined	Undefined	#	Undefined			8	Field link and sequence number (R)													
	13	PATENT CONTROL INFORMATION (R)	Undefined	#	Undefined	Undefined	#	Undefined			a	Number (NR)													
	13	PATENT CONTROL INFORMATION (R)	Undefined	#	Undefined	Undefined	#	Undefined			b	Country (NR)													
	13	PATENT CONTROL INFORMATION (R)	Undefined	#	Undefined	Undefined	#	Undefined			c	Type of number (NR)													
	13	PATENT CONTROL INFORMATION (R)	Undefined	#	Undefined	Undefined	#	Undefined			d	Date (R)													
	13	PATENT CONTROL INFORMATION (R)	Undefined	#	Undefined	Undefined	#	Undefined			e	Status (R)													
	13	PATENT CONTROL INFORMATION (R)	Undefined	#	Undefined	Undefined	#	Undefined			f	Party to document (R)													
	15	NATIONAL BIBLIOGRAPHY NUMBER (R)	Undefined	*		Undefined	*				a	National bibliography number (R)							http://rdaregistry.info/Elements/m/P30004	has identifier for manifestation					
	15	NATIONAL BIBLIOGRAPHY NUMBER (R)	Undefined	*		Undefined	*				q	Qualifying information (R)							http://rdaregistry.info/Elements/m/P30004	has identifier for manifestation					
