Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10006,has degree granting institution,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10041,has degree supervisor,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10077,has academic degree,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10215,has year degree granted,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10284,has degree committee member,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10408,has project supervisor,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,a,Dissertation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10409,has research supervisor,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Degree type (NR),,,,,,,http://rdaregistry.info/Elements/w/P10077,has academic degree,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,b,Degree type (NR),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,c,Name of granting institution (NR),,,,,,,http://rdaregistry.info/Elements/w/P10006,has degree granting institution,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,c,Name of granting institution (NR),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,d,Year of degree granted (NR),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,d,Year of degree granted (NR),,,,,,,http://rdaregistry.info/Elements/w/P10215,has year degree granted,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10006,has degree granting institution,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10041,has degree supervisor,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10077,has academic degree,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10284,has degree committee member,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10408,has project supervisor,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,g,Miscellaneous information (R),,,,,,,http://rdaregistry.info/Elements/w/P10409,has research supervisor,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,o,Dissertation identifier (R),,,,,,,http://rdaregistry.info/Elements/w/P10209,has dissertation or thesis information,,,,,
,502,DISSERTATION NOTE (R),Undefined,*,,Undefined,*,,,,o,Dissertation identifier (R),,,,,,,http://rdaregistry.info/Elements/m/P30004,has identifier for manifestation,,,,,
,502,DISSERTATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
,502,DISSERTATION NOTE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
